Name,POS,DK Pts,DK Price,FD Points,FD Price,DK Price %,FD Price %,Diff DK/FD
Dwayne Allen,TE,5.35,3100,4.6,5200,6.20%,8.67%,-2.47%
Benjamin Watson,TE,5.1,2600,3.3,4600,5.20%,7.67%,-2.47%
Vernon Davis,TE,6.3,3000,5,5100,6.00%,8.50%,-2.50%
Andre Holmes,WR,5.1,3000,4.4,5100,6.00%,8.50%,-2.50%
Seth Roberts,WR,9,3000,7.8,5100,6.00%,8.50%,-2.50%
Jacob Tamme,TE,6.133,2600,4.8,4700,5.20%,7.83%,-2.63%
Frank Gore,RB,11.2,4700,10.2,7300,9.40%,12.17%,-2.77%
Andre Williams,RB,4.867,3100,4.9,5400,6.20%,9.00%,-2.80%
Robert Woods,WR,9.167,3100,7.7,5400,6.20%,9.00%,-2.80%
Duke Johnson,RB,5.333,3100,4.3,5400,6.20%,9.00%,-2.80%
Darren McFadden,RB,7.067,3600,6.6,6000,7.20%,10.00%,-2.80%
Alfred Blue,RB,10.267,3900,8.9,6400,7.80%,10.67%,-2.87%
Larry Donnell,TE,8.033,2900,6.4,5200,5.80%,8.67%,-2.87%
Ladarius Green,TE,14.05,3200,11.6,5600,6.40%,9.33%,-2.93%
Jared Cook,TE,8.3,3000,6.5,5400,6.00%,9.00%,-3.00%
Knile Davis,RB,5.35,3000,5.1,5400,6.00%,9.00%,-3.00%
James Starks,RB,6.9,3800,5.4,6400,7.60%,10.67%,-3.07%
Karlos Williams,RB,14.4,3400,13.1,6300,6.80%,10.50%,-3.70%
Thomas Rawls,RB,4.633,3000,3.6,6000,6.00%,10.00%,-4.00%
Fred Jackson,RB,5.567,3000,4.4,6100,6.00%,10.17%,-4.17%
