"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"6894","QB","Aaron","Rodgers","22.4","5","9300","SD@GB","GB","SD","","","",""
"31360","WR","Odell","Beckham Jr.","15.3","5","9100","NYG@PHI","NYG","PHI","Q","Hamstring","",""
"28181","RB","Le'Veon","Bell","22.6","3","9000","ARI@PIT","PIT","ARI","","","",""
"6498","QB","Tom","Brady","26","4","9000","NE@IND","NE","IND","","","",""
"6703","RB","Adrian","Peterson","16.7","4","8900","KC@MIN","MIN","KC","","","",""
"21939","QB","Andrew","Luck","15.9","3","8600","NE@IND","IND","NE","P","Shoulder","",""
"11612","WR","Antonio","Brown","17","5","8600","ARI@PIT","PIT","ARI","","","",""
"16606","WR","DeAndre","Hopkins","19.8","5","8500","HOU@JAC","HOU","JAC","","","",""
"10777","RB","Arian","Foster","9.7","2","8500","HOU@JAC","HOU","JAC","","","",""
"6899","RB","Matt","Forte","16","5","8400","CHI@DET","CHI","DET","","","",""
"11432","WR","Demaryius","Thomas","12.9","5","8300","DEN@CLE","DEN","CLE","","","",""
"9371","RB","Marshawn","Lynch","8.5","3","8300","CAR@SEA","SEA","CAR","Q","Hamstring","",""
"6655","WR","Calvin","Johnson","10.4","5","8200","CHI@DET","DET","CHI","","","",""
"11460","TE","Rob","Gronkowski","17.9","4","8200","NE@IND","NE","IND","","","",""
"14187","WR","A.J.","Green","16.6","5","8100","CIN@BUF","CIN","BUF","","","",""
"14257","WR","Randall","Cobb","14.1","5","8100","SD@GB","GB","SD","P","Shoulder","",""
"6661","QB","Peyton","Manning","13.2","5","8100","DEN@CLE","DEN","CLE","","","",""
"22015","QB","Russell","Wilson","16.9","5","8000","CAR@SEA","SEA","CAR","","","",""
"14185","QB","Cam","Newton","22","4","8000","CAR@SEA","CAR","SEA","","","",""
"6748","QB","Carson","Palmer","20.5","5","8000","ARI@PIT","ARI","PIT","","","",""
"6759","WR","Brandon","Marshall","17.8","4","8000","WAS@NYJ","NYJ","WAS","","","",""
"11505","WR","Emmanuel","Sanders","14.2","5","7900","DEN@CLE","DEN","CLE","","","",""
"7859","WR","Julian","Edelman","19.3","4","7900","NE@IND","NE","IND","","","",""
"6826","QB","Eli","Manning","19.3","5","7800","NYG@PHI","NYG","PHI","","","",""
"6714","QB","Joe","Flacco","16","5","7800","BAL@SF","BAL","SF","","","",""
"21948","QB","Ryan","Tannehill","16.7","4","7700","MIA@TEN","MIA","TEN","","","",""
"29253","WR","Keenan","Allen","16","5","7700","SD@GB","SD","GB","","","",""
"11414","QB","Sam","Bradford","15.5","5","7700","NYG@PHI","PHI","NYG","","","",""
"14225","QB","Andy","Dalton","23.6","5","7600","CIN@BUF","CIN","BUF","","","",""
"14254","RB","DeMarco","Murray","12.8","4","7600","NYG@PHI","PHI","NYG","","","",""
"6857","RB","Justin","Forsett","12.5","5","7600","BAL@SF","BAL","SF","Q","Ankle","",""
"7968","QB","Philip","Rivers","19.1","5","7500","SD@GB","SD","GB","","","",""
"6898","QB","Jay","Cutler","15.3","4","7500","CHI@DET","CHI","DET","","","",""
"6883","WR","Larry","Fitzgerald","20.1","5","7500","ARI@PIT","ARI","PIT","","","",""
"21980","WR","Alshon","Jeffery","10.3","1","7400","CHI@DET","CHI","DET","Q","Hamstring","",""
"22031","WR","T.Y.","Hilton","10.3","5","7400","NE@IND","IND","NE","","","",""
"14377","QB","Tyrod","Taylor","21.5","5","7400","CIN@BUF","BUF","CIN","D","Knee","",""
"14231","QB","Colin","Kaepernick","15.3","5","7300","BAL@SF","SF","BAL","","","",""
"11864","RB","Christopher","Ivory","17.4","3","7300","WAS@NYJ","NYJ","WAS","","","",""
