Name,POS,DK Pts,DK Price,FD Points,FD Price,DK Price %,FD Price %,Diff DK/FD
Carson Palmer,QB,25.440,6600,23.9,8100,0.132,0.135,-0.0030000000000000027
Philip Rivers,QB,20.550,6400,18.5,7700,0.128,0.12833333333333333,-0.0003333333333333244
Colin Kaepernick,QB,20.600,6300,17.6,7900,0.126,0.13166666666666665,-0.005666666666666653
Joe Flacco,QB,14.120,6200,12.6,8100,0.124,0.135,-0.01100000000000001
LeSean McCoy,RB,13.150,6100,11.7,7500,0.122,0.125,-0.0030000000000000027
Mark Ingram,RB,17.000,5900,13.8,7900,0.118,0.13166666666666665,-0.01366666666666666
Tyrod Taylor,QB,22.440,5800,22.4,7000,0.116,0.11666666666666667,-0.0006666666666666626
Latavius Murray,RB,16.350,5800,13.9,7000,0.116,0.11666666666666667,-0.0006666666666666626
Andy Dalton,QB,20.210,5700,20.2,7100,0.114,0.11833333333333333,-0.004333333333333328
Andre Ellington,RB,13.600,5700,12.1,7000,0.114,0.11666666666666667,-0.0026666666666666644
Jay Cutler,QB,12.650,5500,12.6,7200,0.11,0.12,-0.009999999999999995
Andre Johnson,WR,6.400,5500,4.4,6800,0.11,0.11333333333333333,-0.003333333333333327
Anquan Boldin,WR,12.800,5400,10.3,6600,0.108,0.11,-0.0020000000000000018
Vincent Jackson,WR,11.750,5400,10,7200,0.108,0.12,-0.011999999999999997
Carlos Hyde,RB,22.650,5400,19.7,7800,0.108,0.13,-0.022000000000000006
Jameis Winston,QB,17.890,5400,17.4,6500,0.108,0.10833333333333334,-0.00033333333333333826
Derek Carr,QB,16.790,5300,15.3,6600,0.106,0.11,-0.0040000000000000036
Brandon Weeden,QB,8.020,5200,8,6500,0.104,0.10833333333333334,-0.004333333333333342
Nick Foles,QB,15.540,5200,14.5,6500,0.104,0.10833333333333334,-0.004333333333333342
Lamar Miller,RB,8.850,5200,7.4,6600,0.104,0.11,-0.006000000000000005
Allen Robinson,WR,20.100,5200,16.9,6600,0.104,0.11,-0.006000000000000005
Ryan Fitzpatrick,QB,14.060,5100,14.1,6800,0.102,0.11333333333333333,-0.011333333333333334
Doug Martin,RB,8.600,5100,7.4,6600,0.102,0.11,-0.008000000000000007
Joseph Randle,RB,10.600,5100,9.6,6500,0.102,0.10833333333333334,-0.006333333333333344
Blake Bortles,QB,16.770,5100,16.8,6700,0.102,0.11166666666666666,-0.00966666666666667
Johnny Manziel,QB,13.380,5100,12.4,6800,0.102,0.11333333333333333,-0.011333333333333334
Roddy White,WR,6.200,5000,5.2,6100,0.1,0.10166666666666667,-0.0016666666666666635
Brian Hoyer,QB,11.440,5000,10.4,6300,0.1,0.105,-0.0049999999999999906
Mark Sanchez,QB,0,5000,16.7,6100,0.1,0.10166666666666667,-0.0016666666666666635
Christopher Ivory,RB,23.000,5000,22.5,7100,0.1,0.11833333333333333,-0.018333333333333326
Ryan Mallett,QB,14.940,5000,13.9,6300,0.1,0.105,-0.0049999999999999906
Travis Kelce,TE,20.700,5000,16.7,6400,0.1,0.10666666666666667,-0.006666666666666668
Melvin Gordon,RB,9.750,5000,8.3,6700,0.1,0.11166666666666666,-0.011666666666666659
Davante Adams,WR,9.100,5000,6.9,6400,0.1,0.10666666666666667,-0.006666666666666668
Jonathan Stewart,RB,9.500,4900,8.3,6500,0.098,0.10833333333333334,-0.010333333333333333
Eric Decker,WR,11.700,4900,10.7,6000,0.098,0.1,-0.0020000000000000018
Greg Olsen,TE,7.550,4800,5.8,5900,0.096,0.09833333333333333,-0.002333333333333326
C.J. Spiller,RB,3.600,4800,3.1,6000,0.096,0.1,-0.0040000000000000036
Tyler Eifert,TE,24.650,4800,19.9,5900,0.096,0.09833333333333333,-0.002333333333333326
Donte Moncrief,WR,16.600,4800,13.6,6000,0.096,0.1,-0.0040000000000000036
Mike Wallace,WR,9.550,4700,7.3,5800,0.094,0.09666666666666666,-0.0026666666666666644
Giovani Bernard,RB,17.350,4700,13.6,7200,0.094,0.12,-0.025999999999999995
Todd Gurley,RB,0,4700,0,6300,0.094,0.105,-0.010999999999999996
Martellus Bennett,TE,12.650,4600,10.4,5600,0.092,0.09333333333333334,-0.0013333333333333391
Michael Crabtree,WR,18.900,4600,13.9,6000,0.092,0.1,-0.008000000000000007
Terrance Williams,WR,14.700,4600,12.5,6500,0.092,0.10833333333333334,-0.01633333333333334
Devonta Freeman,RB,11.800,4600,10.1,6500,0.092,0.10833333333333334,-0.01633333333333334
Bishop Sankey,RB,13.400,4600,12.9,6300,0.092,0.105,-0.012999999999999998
Frank Gore,RB,5.100,4500,4.1,7000,0.09,0.11666666666666667,-0.026666666666666672
Jason Witten,TE,19.300,4500,15.6,6000,0.09,0.1,-0.010000000000000009
Ameer Abdullah,RB,11.100,4500,9.9,6000,0.09,0.1,-0.010000000000000009
Isaiah Crowell,RB,9.250,4500,8.8,6600,0.09,0.11,-0.020000000000000004
Tevin Coleman,RB,8.600,4500,8.6,6200,0.09,0.10333333333333333,-0.013333333333333336
DeAngelo Williams,RB,24.200,4400,21.5,6000,0.088,0.1,-0.01200000000000001
Percy Harvin,WR,14.600,4400,12.4,5600,0.088,0.09333333333333334,-0.005333333333333343
Danny Woodhead,RB,19.300,4400,16.8,6400,0.088,0.10666666666666667,-0.01866666666666668
T.J. Yeldon,RB,10.500,4400,9,6600,0.088,0.11,-0.022000000000000006
Steve Johnson,WR,17.850,4300,15.1,5900,0.086,0.09833333333333333,-0.012333333333333335
Tre Mason,RB,5.000,4300,4,6500,0.086,0.10833333333333334,-0.022333333333333344
Travis Benjamin,WR,26.700,4200,23.7,5600,0.084,0.09333333333333334,-0.009333333333333332
Dion Lewis,RB,20.400,4200,17.4,6700,0.084,0.11166666666666666,-0.02766666666666666
Joique Bell,RB,4.950,4200,4,5800,0.084,0.09666666666666666,-0.01266666666666666
Austin Seferian-Jenkins,TE,17.950,4100,14.7,5200,0.082,0.08666666666666667,-0.004666666666666666
Chris Johnson,RB,5.450,4000,5.5,6200,0.08,0.10333333333333333,-0.02333333333333333
Darren McFadden,RB,5.850,4000,5.1,6300,0.08,0.105,-0.024999999999999994
Charles Johnson,WR,4.350,4000,3.1,5200,0.08,0.08666666666666667,-0.006666666666666668
Doug Baldwin,WR,16.350,4000,12.9,6000,0.08,0.1,-0.020000000000000004
LeGarrette Blount,RB,0.400,4000,0.4,5900,0.08,0.09833333333333333,-0.018333333333333326
Michael Floyd,WR,1.400,4000,1.2,5200,0.08,0.08666666666666667,-0.006666666666666668
Benny Cunningham,RB,11.450,4000,9.5,5400,0.08,0.09,-0.009999999999999995
David Johnson,RB,15.000,4000,14.5,6000,0.08,0.1,-0.020000000000000004
Malcom Floyd,WR,8.700,3900,8,5300,0.078,0.08833333333333333,-0.010333333333333333
Darren Sproles,RB,12.750,3800,10,5400,0.076,0.09,-0.013999999999999999
Reggie Bush,RB,0.800,3800,0.8,5300,0.076,0.08833333333333333,-0.012333333333333335
Kenny Britt,WR,9.050,3800,8.1,5400,0.076,0.09,-0.013999999999999999
Leonard Hankerson,WR,11.650,3800,9.7,5700,0.076,0.095,-0.019000000000000003
Jordan Cameron,TE,10.250,3800,8.5,5400,0.076,0.09,-0.013999999999999999
Rishard Matthews,WR,16.950,3800,13,5700,0.076,0.095,-0.019000000000000003
Eddie Royal,WR,6.450,3700,4.5,4700,0.074,0.07833333333333334,-0.004333333333333342
Markus Wheaton,WR,9.600,3700,8.4,5200,0.074,0.08666666666666667,-0.012666666666666673
Tavon Austin,WR,10.550,3700,9.8,5300,0.074,0.08833333333333333,-0.014333333333333337
Allen Hurns,WR,10.400,3700,7.7,5100,0.074,0.085,-0.01100000000000001
Brandon Coleman,WR,10.200,3700,8.5,5100,0.074,0.085,-0.01100000000000001
Nate Washington,WR,14.400,3600,10.7,5300,0.072,0.08833333333333333,-0.01633333333333334
Marvin Jones,WR,8.500,3600,7.5,5000,0.072,0.08333333333333333,-0.011333333333333334
Alfred Blue,RB,3.950,3600,3.5,5300,0.072,0.08833333333333333,-0.01633333333333334
Heath Miller,TE,13.950,3500,11.5,5800,0.07,0.09666666666666666,-0.026666666666666658
Darrius Heyward-Bey,WR,13.750,3500,11.8,5300,0.07,0.08833333333333333,-0.018333333333333326
Jermaine Kearse,WR,7.800,3500,5.8,5400,0.07,0.09,-0.01999999999999999
Zach Ertz,TE,6.150,3500,4.7,5200,0.07,0.08666666666666667,-0.016666666666666663
Cecil Shorts,WR,9.550,3500,7.1,5200,0.07,0.08666666666666667,-0.016666666666666663
