Name,POS,DK Pts,DK Price,FD Points,FD Price,DK Price %,FD Price %,Diff DK/FD
Julio Jones,WR,33.800,9000,25.3,9000,0.18,0.15,0.03
Antonio Brown,WR,35.400,8900,27.9,9300,0.178,0.155,0.022999999999999993
Aaron Rodgers,QB,22.660,8000,21.7,9100,0.16,0.15166666666666667,0.008333333333333331
Demaryius Thomas,WR,17.800,8000,12.6,8400,0.16,0.14,0.01999999999999999
Calvin Johnson,WR,15.100,7900,12.1,8200,0.158,0.13666666666666666,0.021333333333333343
Andrew Luck,QB,19.720,7900,17.7,9000,0.158,0.15,0.008000000000000007
Tom Brady,QB,29.930,7700,27.9,8700,0.154,0.145,0.009000000000000008
Emmanuel Sanders,WR,21.600,7600,17.6,8100,0.152,0.135,0.016999999999999987
Drew Brees,QB,16.800,7500,15.3,8400,0.15,0.14,0.009999999999999981
Adrian Peterson,RB,15.700,7500,12.5,8900,0.15,0.14833333333333334,0.0016666666666666496
Le'Veon Bell,RB,0,7500,20.6,8800,0.15,0.14666666666666667,0.003333333333333327
Peyton Manning,QB,13.570,7400,13.6,8200,0.148,0.13666666666666666,0.011333333333333334
Marshawn Lynch,RB,13.300,7400,11.3,8700,0.148,0.145,0.0030000000000000027
Jamaal Charles,RB,22.500,7400,17.8,8700,0.148,0.145,0.0030000000000000027
Rob Gronkowski,TE,29.850,7400,25.4,8400,0.148,0.14,0.00799999999999998
DeAndre Hopkins,WR,21.550,7400,18.1,7800,0.148,0.13,0.017999999999999988
Matt Forte,RB,22.550,7300,18.8,8400,0.146,0.14,0.005999999999999978
Randall Cobb,WR,18.700,7300,14,8200,0.146,0.13666666666666666,0.009333333333333332
Jeremy Hill,RB,10.700,7300,9.5,7600,0.146,0.12666666666666668,0.019333333333333313
Ben Roethlisberger,QB,27.850,7200,21.8,8500,0.144,0.14166666666666666,0.002333333333333326
A.J. Green,WR,12.400,7200,10.4,8000,0.144,0.13333333333333333,0.010666666666666658
Eddie Lacy,RB,9.400,7200,8.9,7700,0.144,0.12833333333333333,0.015666666666666662
Matt Ryan,QB,20.020,7100,18.5,8300,0.142,0.13833333333333334,0.0036666666666666514
Arian Foster,RB,0,7100,19.6,8200,0.142,0.13666666666666666,0.005333333333333329
Brandin Cooks,WR,10.050,7100,7.8,7000,0.142,0.11666666666666667,0.02533333333333332
Julian Edelman,WR,27.750,7000,22.3,7700,0.14,0.12833333333333333,0.011666666666666686
Russell Wilson,QB,19.590,7000,19.6,8400,0.14,0.14,0.0
Alshon Jeffery,WR,12.800,6900,10.3,7500,0.138,0.125,0.013000000000000012
Jordan Matthews,WR,21.600,6900,16.1,7100,0.138,0.11833333333333333,0.01966666666666668
Cam Newton,QB,20.950,6800,20.9,7900,0.136,0.13166666666666665,0.004333333333333356
Keenan Allen,WR,18.600,6800,12.4,7600,0.136,0.12666666666666668,0.009333333333333332
Ryan Tannehill,QB,19.900,6700,17.9,8000,0.134,0.13333333333333333,0.0006666666666666765
T.Y. Hilton,WR,15.800,6700,12.3,7600,0.134,0.12666666666666668,0.007333333333333331
Carson Palmer,QB,25.440,6600,23.9,8100,0.132,0.135,-0.0030000000000000027
DeMarco Murray,RB,14.250,6600,12,7800,0.132,0.13,0.0020000000000000018
Mike Evans,WR,0.000,6600,0,7400,0.132,0.12333333333333334,0.00866666666666667
Philip Rivers,QB,20.550,6400,18.5,7700,0.128,0.12833333333333333,-0.0003333333333333244
Jarvis Landry,WR,21.650,6400,16.2,7600,0.128,0.12666666666666668,0.0013333333333333253
Steve Smith,WR,15.650,6300,11.2,7100,0.126,0.11833333333333333,0.007666666666666669
Matthew Stafford,QB,18.090,6300,18.1,7400,0.126,0.12333333333333334,0.0026666666666666644
Colin Kaepernick,QB,20.600,6300,17.6,7900,0.126,0.13166666666666665,-0.005666666666666653
Sam Bradford,QB,14.650,6300,12.6,7200,0.126,0.12,0.006000000000000005
Brandon Marshall,WR,18.200,6200,15.2,7400,0.124,0.12333333333333334,0.0006666666666666626
Joe Flacco,QB,14.120,6200,12.6,8100,0.124,0.135,-0.01100000000000001
Teddy Bridgewater,QB,14.030,6200,14,6800,0.124,0.11333333333333333,0.010666666666666672
C.J. Anderson,RB,6.350,6200,5.1,7300,0.124,0.12166666666666667,0.002333333333333326
Amari Cooper,WR,18.300,6200,13.8,6900,0.124,0.115,0.008999999999999994
LeSean McCoy,RB,13.150,6100,11.7,7500,0.122,0.125,-0.0030000000000000027
Sammy Watkins,WR,9.000,6100,7.5,6800,0.122,0.11333333333333333,0.00866666666666667
Marcus Mariota,QB,21.570,6100,20.6,7300,0.122,0.12166666666666667,0.0003333333333333244
Alex Smith,QB,15.180,6000,15.2,6500,0.12,0.10833333333333334,0.011666666666666659
Justin Forsett,RB,10.800,6000,8.8,7200,0.12,0.12,0.0
Jeremy Maclin,WR,9.700,6000,7.5,6500,0.12,0.10833333333333334,0.011666666666666659
Mark Ingram,RB,17.000,5900,13.8,7900,0.118,0.13166666666666665,-0.01366666666666666
Larry Fitzgerald,WR,27.450,5800,22.5,6700,0.116,0.11166666666666666,0.004333333333333342
Jimmy Graham,TE,9.600,5800,7.9,6300,0.116,0.105,0.01100000000000001
Tyrod Taylor,QB,22.440,5800,22.4,7000,0.116,0.11666666666666667,-0.0006666666666666626
Latavius Murray,RB,16.350,5800,13.9,7000,0.116,0.11666666666666667,-0.0006666666666666626
Andy Dalton,QB,20.210,5700,20.2,7100,0.114,0.11833333333333333,-0.004333333333333328
Golden Tate,WR,10.200,5700,7.7,6800,0.114,0.11333333333333333,0.0006666666666666765
Andre Ellington,RB,13.600,5700,12.1,7000,0.114,0.11666666666666667,-0.0026666666666666644
Jay Cutler,QB,12.650,5500,12.6,7200,0.11,0.12,-0.009999999999999995
Andre Johnson,WR,6.400,5500,4.4,6800,0.11,0.11333333333333333,-0.003333333333333327
Anquan Boldin,WR,12.800,5400,10.3,6600,0.108,0.11,-0.0020000000000000018
Vincent Jackson,WR,11.750,5400,10,7200,0.108,0.12,-0.011999999999999997
Torrey Smith,WR,15.550,5400,12.3,6400,0.108,0.10666666666666667,0.0013333333333333253
Carlos Hyde,RB,22.650,5400,19.7,7800,0.108,0.13,-0.022000000000000006
Jameis Winston,QB,17.890,5400,17.4,6500,0.108,0.10833333333333334,-0.00033333333333333826
Marques Colston,WR,8.400,5300,6.7,5300,0.106,0.08833333333333333,0.017666666666666664
Derek Carr,QB,16.790,5300,15.3,6600,0.106,0.11,-0.0040000000000000036
Ronnie Hillman,RB,3.750,5300,3.8,6200,0.106,0.10333333333333333,0.0026666666666666644
Brandon Weeden,QB,8.020,5200,8,6500,0.104,0.10833333333333334,-0.004333333333333342
Nick Foles,QB,15.540,5200,14.5,6500,0.104,0.10833333333333334,-0.004333333333333342
Lamar Miller,RB,8.850,5200,7.4,6600,0.104,0.11,-0.006000000000000005
Allen Robinson,WR,20.100,5200,16.9,6600,0.104,0.11,-0.006000000000000005
Ryan Fitzpatrick,QB,14.060,5100,14.1,6800,0.102,0.11333333333333333,-0.011333333333333334
Doug Martin,RB,8.600,5100,7.4,6600,0.102,0.11,-0.008000000000000007
John Brown,WR,12.050,5100,9.8,6000,0.102,0.1,0.001999999999999988
Joseph Randle,RB,10.600,5100,9.6,6500,0.102,0.10833333333333334,-0.006333333333333344
Blake Bortles,QB,16.770,5100,16.8,6700,0.102,0.11166666666666666,-0.00966666666666667
Johnny Manziel,QB,13.380,5100,12.4,6800,0.102,0.11333333333333333,-0.011333333333333334
Matt Hasselbeck,QB,0,5000,4.2,4800,0.1,0.08,0.020000000000000004
Michael Vick,QB,-0.300,5000,-0.3,6000,0.1,0.1,0.0
Josh McCown,QB,3.260,5000,2.3,6000,0.1,0.1,0.0
Matt Cassel,QB,0.000,5000,0,6000,0.1,0.1,0.0
Tarvaris Jackson,QB,0,5000,6.1,5200,0.1,0.08666666666666667,0.013333333333333336
Derek Anderson,QB,0,5000,8.4,5200,0.1,0.08666666666666667,0.013333333333333336
Dan Orlovsky,QB,0.000,5000,0,5200,0.1,0.08666666666666667,0.013333333333333336
Roddy White,WR,6.200,5000,5.2,6100,0.1,0.10166666666666667,-0.0016666666666666635
Kellen Clemens,QB,0,5000,3.4,5200,0.1,0.08666666666666667,0.013333333333333336
Shaun Hill,QB,0,5000,10.8,5100,0.1,0.085,0.015
Matt Moore,QB,0,5000,0.3,5400,0.1,0.09,0.010000000000000009
Drew Stanton,QB,0,5000,10.9,5200,0.1,0.08666666666666667,0.013333333333333336
Matt Schaub,QB,0,5000,0.1,5300,0.1,0.08833333333333333,0.011666666666666672
Luke McCown,QB,0.000,5000,0,5200,0.1,0.08666666666666667,0.013333333333333336
Brian Hoyer,QB,11.440,5000,10.4,6300,0.1,0.105,-0.0049999999999999906
Chad Henne,QB,0,5000,10.4,5900,0.1,0.09833333333333333,0.0016666666666666774
Joe Webb,QB,0.000,5000,0,4800,0.1,0.08,0.020000000000000004
Mark Sanchez,QB,0,5000,16.7,6100,0.1,0.10166666666666667,-0.0016666666666666635
Chase Daniel,QB,0,5000,2.6,5400,0.1,0.09,0.010000000000000009
Scott Tolzien,QB,0,5000,0,5100,0.1,0.085,0.015
Christopher Ivory,RB,23.000,5000,22.5,7100,0.1,0.11833333333333333,-0.018333333333333326
Case Keenum,QB,0,5000,12.4,4800,0.1,0.08,0.020000000000000004
Jimmy Clausen,QB,3.340,5000,3.3,5300,0.1,0.08833333333333333,0.011666666666666672
Ryan Mallett,QB,14.940,5000,13.9,6300,0.1,0.105,-0.0049999999999999906
Austin Davis,QB,0,5000,11.7,5400,0.1,0.09,0.010000000000000009
Travis Kelce,TE,20.700,5000,16.7,6400,0.1,0.10666666666666667,-0.006666666666666668
Kendall Wright,WR,13.400,5000,10.4,5900,0.1,0.09833333333333333,0.0016666666666666774
E.J. Manuel,QB,0,5000,12.3,5500,0.1,0.09166666666666666,0.008333333333333345
Blaine Gabbert,QB,0,5000,6,5400,0.1,0.09,0.010000000000000009
Sean Renfree,QB,0,5000,0,4800,0.1,0.08,0.020000000000000004
Mike Glennon,QB,0,5000,15.9,5100,0.1,0.085,0.015
Ryan Griffin,QB,0,5000,2.3,4800,0.1,0.08,0.020000000000000004
Matt McGloin,QB,11.680,5000,10.7,5500,0.1,0.09166666666666666,0.008333333333333345
Matt Barkley,QB,0,5000,0,4800,0.1,0.08,0.020000000000000004
Zach Mettenberger,QB,-0.500,5000,-0.5,5600,0.1,0.09333333333333334,0.006666666666666668
Aaron Murray,QB,0,5000,0,4800,0.1,0.08,0.020000000000000004
Brock Osweiler,QB,0,5000,1.5,5600,0.1,0.09333333333333334,0.006666666666666668
Bryce Petty,QB,0,5000,0,4800,0.1,0.08,0.020000000000000004
AJ McCarron,QB,0,5000,0,5100,0.1,0.085,0.015
Garrett Grayson,QB,0,5000,0,4800,0.1,0.08,0.020000000000000004
Jimmy Garoppolo,QB,0,5000,2,5000,0.1,0.08333333333333333,0.016666666666666677
Sean Mannion,QB,0,5000,0,4800,0.1,0.08,0.020000000000000004
Brett Hundley,QB,0,5000,0,4800,0.1,0.08,0.020000000000000004
Melvin Gordon,RB,9.750,5000,8.3,6700,0.1,0.11166666666666666,-0.011666666666666659
Davante Adams,WR,9.100,5000,6.9,6400,0.1,0.10666666666666667,-0.006666666666666668
Nelson Agholor,WR,3.800,5000,2.8,5300,0.1,0.08833333333333333,0.011666666666666672
Jonathan Stewart,RB,9.500,4900,8.3,6500,0.098,0.10833333333333334,-0.010333333333333333
Eric Decker,WR,11.700,4900,10.7,6000,0.098,0.1,-0.0020000000000000018
James Jones,WR,15.500,4800,14.3,5700,0.096,0.095,0.0010000000000000009
Greg Olsen,TE,7.550,4800,5.8,5900,0.096,0.09833333333333333,-0.002333333333333326
C.J. Spiller,RB,3.600,4800,3.1,6000,0.096,0.1,-0.0040000000000000036
Tyler Eifert,TE,24.650,4800,19.9,5900,0.096,0.09833333333333333,-0.002333333333333326
Donte Moncrief,WR,16.600,4800,13.6,6000,0.096,0.1,-0.0040000000000000036
Mike Wallace,WR,9.550,4700,7.3,5800,0.094,0.09666666666666666,-0.0026666666666666644
Giovani Bernard,RB,17.350,4700,13.6,7200,0.094,0.12,-0.025999999999999995
Todd Gurley,RB,0,4700,0,6300,0.094,0.105,-0.010999999999999996
Martellus Bennett,TE,12.650,4600,10.4,5600,0.092,0.09333333333333334,-0.0013333333333333391
Michael Crabtree,WR,18.900,4600,13.9,6000,0.092,0.1,-0.008000000000000007
Terrance Williams,WR,14.700,4600,12.5,6500,0.092,0.10833333333333334,-0.01633333333333334
Devonta Freeman,RB,11.800,4600,10.1,6500,0.092,0.10833333333333334,-0.01633333333333334
Bishop Sankey,RB,13.400,4600,12.9,6300,0.092,0.105,-0.012999999999999998
Breshad Perriman,WR,0,4600,0,5200,0.092,0.08666666666666667,0.005333333333333329
Frank Gore,RB,5.100,4500,4.1,7000,0.09,0.11666666666666667,-0.026666666666666672
Jason Witten,TE,19.300,4500,15.6,6000,0.09,0.1,-0.010000000000000009
Julius Thomas,TE,0,4500,11,5300,0.09,0.08833333333333333,0.0016666666666666635
Ameer Abdullah,RB,11.100,4500,9.9,6000,0.09,0.1,-0.010000000000000009
Isaiah Crowell,RB,9.250,4500,8.8,6600,0.09,0.11,-0.020000000000000004
Tevin Coleman,RB,8.600,4500,8.6,6200,0.09,0.10333333333333333,-0.013333333333333336
DeAngelo Williams,RB,24.200,4400,21.5,6000,0.088,0.1,-0.01200000000000001
Percy Harvin,WR,14.600,4400,12.4,5600,0.088,0.09333333333333334,-0.005333333333333343
Danny Woodhead,RB,19.300,4400,16.8,6400,0.088,0.10666666666666667,-0.01866666666666668
T.J. Yeldon,RB,10.500,4400,9,6600,0.088,0.11,-0.022000000000000006
Steve Johnson,WR,17.850,4300,15.1,5900,0.086,0.09833333333333333,-0.012333333333333335
Tre Mason,RB,5.000,4300,4,6500,0.086,0.10833333333333334,-0.022333333333333344
Travis Benjamin,WR,26.700,4200,23.7,5600,0.084,0.09333333333333334,-0.009333333333333332
Dion Lewis,RB,20.400,4200,17.4,6700,0.084,0.11166666666666666,-0.02766666666666666
Joique Bell,RB,4.950,4200,4,5800,0.084,0.09666666666666666,-0.01266666666666666
Austin Seferian-Jenkins,TE,17.950,4100,14.7,5200,0.082,0.08666666666666667,-0.004666666666666666
Chris Johnson,RB,5.450,4000,5.5,6200,0.08,0.10333333333333333,-0.02333333333333333
Darren McFadden,RB,5.850,4000,5.1,6300,0.08,0.105,-0.024999999999999994
Charles Johnson,WR,4.350,4000,3.1,5200,0.08,0.08666666666666667,-0.006666666666666668
Doug Baldwin,WR,16.350,4000,12.9,6000,0.08,0.1,-0.020000000000000004
LeGarrette Blount,RB,0.400,4000,0.4,5900,0.08,0.09833333333333333,-0.018333333333333326
Michael Floyd,WR,1.400,4000,1.2,5200,0.08,0.08666666666666667,-0.006666666666666668
Benny Cunningham,RB,11.450,4000,9.5,5400,0.08,0.09,-0.009999999999999995
David Johnson,RB,15.000,4000,14.5,6000,0.08,0.1,-0.020000000000000004
Malcom Floyd,WR,8.700,3900,8,5300,0.078,0.08833333333333333,-0.010333333333333333
Darren Sproles,RB,12.750,3800,10,5400,0.076,0.09,-0.013999999999999999
Reggie Bush,RB,0.800,3800,0.8,5300,0.076,0.08833333333333333,-0.012333333333333335
Kenny Britt,WR,9.050,3800,8.1,5400,0.076,0.09,-0.013999999999999999
Leonard Hankerson,WR,11.650,3800,9.7,5700,0.076,0.095,-0.019000000000000003
Jordan Cameron,TE,10.250,3800,8.5,5400,0.076,0.09,-0.013999999999999999
Rishard Matthews,WR,16.950,3800,13,5700,0.076,0.095,-0.019000000000000003
Eddie Royal,WR,6.450,3700,4.5,4700,0.074,0.07833333333333334,-0.004333333333333342
Markus Wheaton,WR,9.600,3700,8.4,5200,0.074,0.08666666666666667,-0.012666666666666673
Tavon Austin,WR,10.550,3700,9.8,5300,0.074,0.08833333333333333,-0.014333333333333337
Allen Hurns,WR,10.400,3700,7.7,5100,0.074,0.085,-0.01100000000000001
Brandon Coleman,WR,10.200,3700,8.5,5100,0.074,0.085,-0.01100000000000001
