"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"7806","RB","Darren","McFadden","9.7","6","6400","SEA@DAL","DAL","SEA","","","",""
"6422","TE","Gary","Barnidge","14","7","6300","ARI@CLE","CLE","ARI","","","",""
"29249","RB","C.J.","Anderson","5.8","6","6300","GB@DEN","DEN","GB","","","",""
"31397","RB","Jeremy","Hill","10.2","6","6300","CIN@PIT","CIN","PIT","","","",""
"22035","WR","Travis","Benjamin","14.4","7","6300","ARI@CLE","CLE","ARI","","","",""
"28473","RB","Carlos","Hyde","10.8","7","6200","SF@STL","SF","STL","P","Foot","",""
"27405","QB","Landry","Jones","11.4","2","6200","CIN@PIT","PIT","CIN","","","",""
"7222","WR","James","Jones","14.8","6","6200","GB@DEN","GB","DEN","","","",""
"7953","WR","Vincent","Jackson","9.4","6","6200","TB@ATL","TB","ATL","Q","Knee","",""
"28900","RB","Melvin","Gordon","6","7","6200","SD@BAL","SD","BAL","","","",""
"7778","QB","Matt","Cassel","5.2","2","6200","SEA@DAL","DAL","SEA","","","",""
"22027","QB","Nick","Foles","11.3","6","6200","SF@STL","STL","SF","","","",""
"22003","RB","Ronnie","Hillman","8.2","6","6100","GB@DEN","DEN","GB","","","",""
"7660","RB","Fred","Jackson","4.5","7","6100","SEA@DAL","SEA","DAL","","","",""
"11512","TE","Jimmy","Graham","9.3","7","6100","SEA@DAL","SEA","DAL","","","",""
"9421","RB","Danny","Woodhead","14.6","7","6100","SD@BAL","SD","BAL","","","",""
"6831","QB","Matt","Hasselbeck","15.8","2","6100","IND@CAR","IND","CAR","","","",""
"14267","QB","Ryan","Mallett","7.7","6","6000","TEN@HOU","HOU","TEN","","","",""
"6479","WR","Anquan","Boldin","9.2","7","6000","SF@STL","SF","STL","","","",""
"31421","QB","Zach","Mettenberger","4","3","6000","TEN@HOU","TEN","HOU","","","",""
"33557","TE","Tyler","Eifert","14","6","6000","CIN@PIT","CIN","PIT","","","",""
"21957","WR","Kendall","Wright","10.6","6","5900","TEN@HOU","TEN","HOU","","","",""
"7645","WR","Steve","Johnson","9.7","5","5900","SD@BAL","SD","BAL","","","",""
"7965","TE","Antonio","Gates","19.9","2","5900","SD@BAL","SD","BAL","Q","Knee","",""
"44449","WR","Willie","Snead","9.2","7","5800","NYG@NO","NO","NYG","","","",""
"25837","RB","Duke","Johnson","9.3","7","5800","ARI@CLE","CLE","ARI","","","",""
"8051","QB","Luke","McCown","1.8","7","5800","NYG@NO","NO","NYG","","","",""
"11609","RB","James","Starks","8.6","6","5800","GB@DEN","GB","DEN","","","",""
"6448","TE","Martellus","Bennett","9.7","6","5700","MIN@CHI","CHI","MIN","","","",""
"14288","WR","Torrey","Smith","7.6","7","5700","SF@STL","SF","STL","","","",""
"7053","QB","Matt","Flynn","-0.2","7","5700","NYJ@OAK","NYJ","OAK","","","",""
"11466","QB","Jimmy","Clausen","3.6","2","5700","MIN@CHI","CHI","MIN","","","",""
"9392","WR","Michael","Crabtree","11.1","6","5700","NYJ@OAK","OAK","NYJ","","","",""
"8052","RB","Rashad","Jennings","8.1","7","5700","NYG@NO","NYG","NO","","","",""
"21994","QB","Brock","Osweiler","1.5","4","5600","GB@DEN","DEN","GB","","","",""
"21999","WR","Rueben","Randle","8.3","7","5600","NYG@NO","NYG","NO","","","",""
"54684","RB","Isaiah","Crowell","8.1","7","5600","ARI@CLE","CLE","ARI","","","",""
"31836","WR","Terrance","Williams","8.4","6","5600","SEA@DAL","DAL","SEA","","","",""
"29734","WR","Ty","Montgomery","5.8","6","5600","GB@DEN","GB","DEN","Q","Ankle","",""
"6681","WR","Andre","Johnson","6.1","7","5600","IND@CAR","IND","CAR","","","",""
"6641","TE","Jason","Witten","10.4","6","5500","SEA@DAL","DAL","SEA","","","",""
"14245","RB","Shane","Vereen","7.8","7","5500","NYG@NO","NYG","NO","","","",""
"26141","QB","Ryan","Nassib","0.5","4","5500","NYG@NO","NYG","NO","","","",""
"14626","WR","Doug","Baldwin","8.1","7","5500","SEA@DAL","SEA","DAL","","","",""
"28677","QB","Matt","McGloin","10.7","1","5500","NYJ@OAK","OAK","NYJ","","","",""
"22848","QB","Austin","Davis","11.7","10","5400","ARI@CLE","CLE","ARI","","","",""
"14194","QB","Blaine","Gabbert","6","1","5400","SF@STL","SF","STL","","","",""
"6610","WR","Nate","Washington","11.3","5","5400","TEN@HOU","HOU","TEN","","","",""
"14307","WR","Cecil","Shorts","9.4","5","5400","TEN@HOU","HOU","TEN","Q","Hamstring","",""
"32418","RB","Christine","Michael","1","3","5400","SEA@DAL","DAL","SEA","","","",""
"14905","WR","Kamar","Aiken","6.7","7","5400","SD@BAL","BAL","SD","","","",""
"12546","D","Arizona","Cardinals","10.7","7","5400","ARI@CLE","ARI","CLE","","","",""
"24682","RB","Andre","Ellington","9.3","4","5400","ARI@CLE","ARI","CLE","","","",""
"25694","RB","Andre","Williams","3.1","7","5400","NYG@NO","NYG","NO","","","",""
"6863","TE","Delanie","Walker","10.1","5","5400","TEN@HOU","TEN","HOU","","","",""
"7870","TE","Benjamin","Watson","8.1","7","5400","NYG@NO","NO","NYG","","","",""
"22103","WR","Marvin","Jones","10.5","6","5400","CIN@PIT","CIN","PIT","","","",""
"47828","RB","Antonio","Andrews","8.6","4","5300","TEN@HOU","TEN","HOU","","","",""
"6627","WR","Ted","Ginn Jr.","9.9","6","5300","IND@CAR","CAR","IND","","","",""
"6607","WR","Mike","Wallace","8","6","5300","MIN@CHI","MIN","CHI","","","",""
"14283","WR","Leonard","Hankerson","7.4","7","5300","TB@ATL","ATL","TB","Q","Hamstring","",""
"22991","RB","Jonathan","Grimes","3.4","5","5300","TEN@HOU","HOU","TEN","","","",""
"14305","RB","Roy","Helu","3.2","5","5300","NYJ@OAK","OAK","NYJ","","","",""
"45889","WR","Davante","Adams","4.6","3","5300","GB@DEN","GB","DEN","Q","Ankle","",""
"26458","WR","Tavon","Austin","11.8","6","5300","SF@STL","STL","SF","","","",""
"22219","WR","Jermaine","Kearse","7.2","7","5300","SEA@DAL","SEA","DAL","","","",""
"22234","RB","Chris","Polk","4.7","7","5300","TEN@HOU","HOU","TEN","","","",""
"6679","QB","Matt","Schaub","0.1","11","5300","SD@BAL","BAL","SD","","","",""
"22047","TE","Ladarius","Green","11.9","6","5300","SD@BAL","SD","BAL","","","",""
"27050","WR","Tyler","Lockett","6.6","7","5300","SEA@DAL","SEA","DAL","","","",""
