Name,POS,DK Pts,DK Price,FD Points,FD Price,DK Price %,FD Price %,Diff DK/FD
Julio Jones,WR,38.100,8900,30.6,8800,0.178,0.14666666666666667,0.031333333333333324
Antonio Brown,WR,31.300,8800,23.8,9200,0.176,0.15333333333333332,0.02266666666666667
Odell Beckham Jr.,WR,9.400,8800,6.9,8700,0.176,0.145,0.031
Demaryius Thomas,WR,13.000,8400,9.5,8500,0.168,0.14166666666666666,0.026333333333333347
Aaron Rodgers,QB,23.060,8300,23.1,9300,0.166,0.155,0.01100000000000001
Calvin Johnson,WR,5.900,8200,4.9,8100,0.164,0.135,0.028999999999999998
Andrew Luck,QB,19.720,8200,17.7,8900,0.164,0.14833333333333334,0.015666666666666662
Drew Brees,QB,20.500,7800,17.5,8900,0.156,0.14833333333333334,0.007666666666666655
Adrian Peterson,RB,8.200,7700,6.7,9000,0.154,0.15,0.0040000000000000036
Matt Forte,RB,30.600,7700,25.1,8900,0.154,0.14833333333333334,0.005666666666666653
Jamaal Charles,RB,21.300,7600,18.8,8800,0.152,0.14666666666666667,0.005333333333333329
Emmanuel Sanders,WR,14.500,7600,10.5,8000,0.152,0.13333333333333333,0.018666666666666665
Peyton Manning,QB,5.900,7500,5.9,8200,0.15,0.13666666666666666,0.013333333333333336
Tom Brady,QB,27.620,7500,27.6,8300,0.15,0.13833333333333334,0.011666666666666659
A.J. Green,WR,11.300,7500,8.8,8100,0.15,0.135,0.014999999999999986
Alshon Jeffery,WR,12.800,7500,10.3,8100,0.15,0.135,0.014999999999999986
Matt Ryan,QB,18.620,7400,18.6,8700,0.148,0.145,0.0030000000000000027
Arian Foster,RB,0,7400,19.6,8200,0.148,0.13666666666666666,0.011333333333333334
Randall Cobb,WR,14.800,7400,12.3,8200,0.148,0.13666666666666666,0.011333333333333334
DeAndre Hopkins,WR,32.800,7400,28.3,8100,0.148,0.135,0.012999999999999984
Mike Evans,WR,0,7400,14.1,8100,0.148,0.135,0.012999999999999984
Jeremy Hill,RB,18.300,7400,18.3,8400,0.148,0.14,0.00799999999999998
Rob Gronkowski,TE,32.400,7300,29.9,8300,0.146,0.13833333333333334,0.007666666666666655
Russell Wilson,QB,16.140,7300,16.1,8500,0.146,0.14166666666666666,0.004333333333333328
Ben Roethlisberger,QB,22.040,7200,17,8400,0.144,0.14,0.003999999999999976
Marshawn Lynch,RB,17.400,7200,14.9,8500,0.144,0.14166666666666666,0.002333333333333326
Cam Newton,QB,13.500,7200,13.5,7700,0.144,0.12833333333333333,0.015666666666666662
T.Y. Hilton,WR,15.800,7200,12.3,7600,0.144,0.12666666666666668,0.01733333333333331
Eddie Lacy,RB,17.900,7200,16.9,8100,0.144,0.135,0.00899999999999998
Tony Romo,QB,27.140,7100,24.1,8500,0.142,0.14166666666666666,0.0003333333333333244
Eli Manning,QB,8.520,7100,8.5,8000,0.142,0.13333333333333333,0.008666666666666656
Jordan Matthews,WR,23.200,7100,15.2,7000,0.142,0.11666666666666667,0.02533333333333332
Keenan Allen,WR,34.600,7100,24.1,8200,0.142,0.13666666666666666,0.005333333333333329
DeMarco Murray,RB,18.000,7000,16,8300,0.14,0.13833333333333334,0.0016666666666666774
Ryan Tannehill,QB,12.740,7000,11.7,8000,0.14,0.13333333333333333,0.006666666666666682
Brandin Cooks,WR,9.300,7000,7.3,7400,0.14,0.12333333333333334,0.016666666666666677
Sam Bradford,QB,18.440,6900,15.4,7500,0.138,0.125,0.013000000000000012
Matthew Stafford,QB,15.740,6800,15.7,7700,0.136,0.12833333333333333,0.007666666666666683
Carson Palmer,QB,28.680,6700,25.7,7800,0.134,0.13,0.0040000000000000036
Philip Rivers,QB,24.960,6700,22,8200,0.134,0.13666666666666666,-0.0026666666666666505
Julian Edelman,WR,21.600,6700,16.1,7600,0.134,0.12666666666666668,0.007333333333333331
C.J. Anderson,RB,8.800,6700,6.8,8000,0.134,0.13333333333333333,0.0006666666666666765
Colin Kaepernick,QB,10.700,6600,10.7,7800,0.132,0.13,0.0020000000000000018
LeSean McCoy,RB,11.700,6600,10.2,8100,0.132,0.135,-0.0030000000000000027
Jeremy Maclin,WR,10.200,6500,7.7,7100,0.13,0.11833333333333333,0.011666666666666672
Brandon Marshall,WR,18.200,6400,15.2,7400,0.128,0.12333333333333334,0.004666666666666666
Joe Flacco,QB,2.680,6400,2.7,8100,0.128,0.135,-0.007000000000000006
Teddy Bridgewater,QB,9.840,6400,9.8,7000,0.128,0.11666666666666667,0.011333333333333334
Amari Cooper,WR,9.700,6400,7.2,6700,0.128,0.11166666666666666,0.01633333333333334
Alex Smith,QB,23.220,6300,23.2,6800,0.126,0.11333333333333333,0.012666666666666673
Golden Tate,WR,6.400,6300,4.4,6700,0.126,0.11166666666666666,0.014333333333333337
Justin Forsett,RB,9.600,6200,7.6,7800,0.124,0.13,-0.006000000000000005
DeSean Jackson,WR,0.000,6200,0,6900,0.124,0.115,0.008999999999999994
Tyrod Taylor,QB,15.900,6200,15.9,6300,0.124,0.105,0.019000000000000003
Sammy Watkins,WR,0.000,6200,0,6600,0.124,0.11,0.013999999999999999
Andre Ellington,RB,13.600,6100,12.1,7700,0.122,0.12833333333333333,-0.00633333333333333
Steve Smith,WR,3.300,6000,2.3,6700,0.12,0.11166666666666666,0.008333333333333331
Jay Cutler,QB,15.100,6000,15.1,7200,0.12,0.12,0.0
Marcus Mariota,QB,24.960,6000,25,7400,0.12,0.12333333333333334,-0.003333333333333341
Mark Ingram,RB,20.200,5900,16.2,8000,0.118,0.13333333333333333,-0.015333333333333338
Jarvis Landry,WR,20.700,5900,16.7,7100,0.118,0.11833333333333333,-0.00033333333333333826
Roddy White,WR,12.400,5800,10.4,7400,0.116,0.12333333333333334,-0.007333333333333331
Andre Johnson,WR,6.400,5800,4.4,6800,0.116,0.11333333333333333,0.0026666666666666783
Jimmy Graham,TE,17.100,5800,14.1,7100,0.116,0.11833333333333333,-0.002333333333333326
Andy Dalton,QB,18.860,5800,18.9,6900,0.116,0.115,0.0010000000000000009
Robert Griffin III,QB,0,5800,10.4,7100,0.116,0.11833333333333333,-0.002333333333333326
Latavius Murray,RB,15.000,5800,11.5,6800,0.116,0.11333333333333333,0.0026666666666666783
Anquan Boldin,WR,7.600,5700,5.6,6400,0.114,0.10666666666666667,0.007333333333333331
Doug Martin,RB,6.400,5600,5.9,6700,0.112,0.11166666666666666,0.00033333333333333826
Ronnie Hillman,RB,4.100,5600,4.1,5100,0.112,0.085,0.026999999999999996
Joseph Randle,RB,13.700,5600,12.2,6700,0.112,0.11166666666666666,0.00033333333333333826
Jameis Winston,QB,16.200,5600,16.2,6600,0.112,0.11,0.0020000000000000018
Ryan Fitzpatrick,QB,14.060,5500,14.1,6700,0.11,0.11166666666666666,-0.0016666666666666635
Vincent Jackson,WR,9.100,5500,7.1,7200,0.11,0.12,-0.009999999999999995
