Name,POS,DK Pts,DK Price,FD Points,FD Price,DK Price %,FD Price %,Diff DK/FD
Philip Rivers,QB,24.960,6700,22,8200,0.134,0.13666666666666666,-0.0026666666666666505
LeSean McCoy,RB,11.700,6600,10.2,8100,0.132,0.135,-0.0030000000000000027
Joe Flacco,QB,2.680,6400,2.7,8100,0.128,0.135,-0.007000000000000006
Justin Forsett,RB,9.600,6200,7.6,7800,0.124,0.13,-0.006000000000000005
Andre Ellington,RB,13.600,6100,12.1,7700,0.122,0.12833333333333333,-0.00633333333333333
Marcus Mariota,QB,24.960,6000,25,7400,0.12,0.12333333333333334,-0.003333333333333341
Mark Ingram,RB,20.200,5900,16.2,8000,0.118,0.13333333333333333,-0.015333333333333338
Jarvis Landry,WR,20.700,5900,16.7,7100,0.118,0.11833333333333333,-0.00033333333333333826
Roddy White,WR,12.400,5800,10.4,7400,0.116,0.12333333333333334,-0.007333333333333331
Jimmy Graham,TE,17.100,5800,14.1,7100,0.116,0.11833333333333333,-0.002333333333333326
Robert Griffin III,QB,0,5800,10.4,7100,0.116,0.11833333333333333,-0.002333333333333326
Ryan Fitzpatrick,QB,14.060,5500,14.1,6700,0.11,0.11166666666666666,-0.0016666666666666635
Vincent Jackson,WR,9.100,5500,7.1,7200,0.11,0.12,-0.009999999999999995
Jonathan Stewart,RB,12.100,5500,10.1,6800,0.11,0.11333333333333333,-0.003333333333333327
Lamar Miller,RB,8.500,5500,8,7300,0.11,0.12166666666666667,-0.011666666666666672
DeAngelo Williams,RB,17.200,5300,13.7,7400,0.106,0.12333333333333334,-0.01733333333333334
Brian Hoyer,QB,11.440,5200,10.4,6300,0.104,0.105,-0.0010000000000000009
Johnny Manziel,QB,11.780,5200,9.8,6500,0.104,0.10833333333333334,-0.004333333333333342
Ryan Mallett,QB,10.520,5100,8.5,6500,0.102,0.10833333333333334,-0.006333333333333344
Travis Kelce,TE,31.600,5100,25.6,6600,0.102,0.11,-0.008000000000000007
John Brown,WR,14.600,5100,12.6,6200,0.102,0.10333333333333333,-0.0013333333333333391
Carlos Hyde,RB,35.200,5100,31.2,7000,0.102,0.11666666666666667,-0.014666666666666675
